id,agent_type,prediction_factors,feedback,age,gender,race,ethnicity,time,time_elapsed
1,naive,I tried to judge which door the snack on the floor was closest to.,N/A,38,Female,White,Non-Hispanic,527.557,537602
2,sophisticated,I really tried to base it off how I played the game,na,19,Female,White,Non-Hispanic,407.393,419109
3,sophisticated,"If the snack was right in front of the person's door, I felt more like they probably took it.  If it was closer to the refrigerator where they were more likely to walk then it felt a lot less certain who took the snack.",Not anything at this time.,38,Female,White,Non-Hispanic,799.231,792615
4,naive,Whether the path taken for each individual made sense or not. Was it out of the way back to the room etc.,nope!,26,Male,White,Non-Hispanic,467.483,474276
5,sophisticated,I made my decision based on who is closer to the crumbs,No,44,Female,Black/African American,Non-Hispanic,737.606,1771307
6,sophisticated,The location of the crumbs.,NA,36,Male,NA,Hispanic,613.274,619817
7,naive,I thought about the likely path they would've taken and which areas of the room that would cover. Where the one crumb fell based on those prediction is how I based my answers.,NA,25,Male,Biracial; Filipino/White,Non-Hispanic,469.567,465317
8,naive,It depended on where the agents room was and if they would have walked where the snacks were dropped.,no,53,Female,White,Non-Hispanic,615.197,610680
9,sophisticated,the path to the snacks,n/a,43,Female,Black/African American,Non-Hispanic,1213.23,1468719
10,sophisticated,depending where the crumbs where. most of time it could be either. just depending on the pathways,NA,46,Female,White,Non-Hispanic,819.63,816792
11,sophisticated,"Which room the crumbs were closer to, and also if it made sense for the person in the room to take that path.",No,23,Male,White,Hispanic,555.647,761839
12,naive,"To predict which agent took the snack, I considered how close the crumbs were to which agent's apartment and whether or not the two agent's potential route to the fridge could overlap in any way.",N,27,Female,Asian,Non-Hispanic,395.233,390177
13,naive,It was where the snack was placed and which one was closer,None,64,Female,Black/African American,Non-Hispanic,1542.463,1572119
14,naive,I looked for the most likely paths given their proximity and other factors.,No,32,Male,White,Non-Hispanic,505.15,500740
15,naive,"If the crumbs were directly by the door, the culprit was obvious and then the other times I just went off of how likely of a path each roommate was to take.",NA,30,Female,White,Non-Hispanic,544.679,540923
16,sophisticated,"How close the crumbs were to the doorway of one of the roommates, along with how likely/unlikely the other roommate would have dropped the crumbs in that spot relative to their likely path back to their room.",No questions or concerns,51,Male,White,Non-Hispanic,749.138,755566
17,naive,"I mapped out the path each of them would possibly take to get to the fridge and back, and compared it to where the crumbs are left. I made my predictions based on how close the crumb was to each person's path.",NA,24,Female,Asian,Non-Hispanic,835.445,830613
18,naive,i judged whether the crumbs were in the path i myself would likely have taken if i were person a or b.,no,61,Female,White,Non-Hispanic,545.494,541033
19,sophisticated,"I generally allotted some probability toward whomever the crumbs were closest to, but also tried to take into account the fact that they can take paths that take them closer to the other resident's room.",This was interesting! I'm curious to know what it's studying.,37,Female,White,Non-Hispanic,442.384,816293
20,sophisticated,The proximity to the roommates door.,No,77,Female,White,Non-Hispanic,698.697,693050
21,naive,Usually the side of the apartment where the crumbs appeared can be tied to the person who took the snacks.,none!,24,Female,Black/African American,Hispanic,570.643,705031
