trial,grid,crumb,agent_type,response
1,snack10,"[6,3]",naive,-50
1,snack10,"[6,3]",sophisticated,-49
2,snack7,"[6,3]",naive,-50
2,snack7,"[6,3]",sophisticated,-49
3,snack3,"[3,9]",naive,-39
3,snack3,"[3,9]",sophisticated,-35
4,snack7,"[3,4]",naive,-48
4,snack7,"[3,4]",sophisticated,-45
5,snack8,"[10,3]",naive,-25
5,snack8,"[10,3]",sophisticated,-11
6,snack8,"[10,2]",naive,-33
6,snack8,"[10,2]",sophisticated,-13
7,snack1,"[4,9]",naive,-31
7,snack1,"[4,9]",sophisticated,-29
8,snack8,"[8,5]",naive,-11
8,snack8,"[8,5]",sophisticated,-5
9,snack10,"[5,3]",naive,-48
9,snack10,"[5,3]",sophisticated,-44
10,snack2,"[13,3]",naive,50
10,snack2,"[13,3]",sophisticated,50
11,snack2,"[13,4]",naive,48
11,snack2,"[13,4]",sophisticated,47
12,snack5,"[10,4]",naive,21
12,snack5,"[10,4]",sophisticated,13
13,snack1,"[10,10]",naive,50
13,snack1,"[10,10]",sophisticated,50
14,snack9,"[8,10]",naive,38
14,snack9,"[8,10]",sophisticated,39
15,snack10,"[6,11]",naive,46
15,snack10,"[6,11]",sophisticated,44
16,snack3,"[10,9]",naive,22
16,snack3,"[10,9]",sophisticated,19
17,snack3,"[11,9]",naive,38
17,snack3,"[11,9]",sophisticated,35
18,snack1,"[6,11]",naive,17
18,snack1,"[6,11]",sophisticated,8
19,snack2,"[5,4]",naive,-7
19,snack2,"[5,4]",sophisticated,-11
20,snack7,"[3,10]",naive,0
20,snack7,"[3,10]",sophisticated,-2
21,snack9,"[12,4]",naive,-14
21,snack9,"[12,4]",sophisticated,-12
22,snack5,"[8,4]",naive,-2
22,snack5,"[8,4]",sophisticated,-3
23,snack5,"[8,5]",naive,7
23,snack5,"[8,5]",sophisticated,5
24,snack6,"[7,10]",naive,3
24,snack6,"[7,10]",sophisticated,-1
25,snack9,"[8,5]",naive,-20
25,snack9,"[8,5]",sophisticated,-18
26,snack6,"[8,13]",naive,-5
26,snack6,"[8,13]",sophisticated,-5
27,snack6,"[7,9]",naive,5
27,snack6,"[7,9]",sophisticated,2
