trial,grid,crumb,agent_type,response
1,snack10,"[6,3]",naive,-50
1,snack10,"[6,3]",sophisticated,-50
2,snack7,"[6,3]",naive,-50
2,snack7,"[6,3]",sophisticated,-50
3,snack3,"[3,9]",naive,-50
3,snack3,"[3,9]",sophisticated,-47
4,snack7,"[3,4]",naive,-50
4,snack7,"[3,4]",sophisticated,-43
5,snack8,"[10,3]",naive,-47
5,snack8,"[10,3]",sophisticated,-4
6,snack8,"[10,2]",naive,-48
6,snack8,"[10,2]",sophisticated,9
7,snack1,"[4,9]",naive,-41
7,snack1,"[4,9]",sophisticated,-38
8,snack8,"[8,5]",naive,-41
8,snack8,"[8,5]",sophisticated,-17
9,snack10,"[5,3]",naive,-50
9,snack10,"[5,3]",sophisticated,-45
10,snack2,"[13,3]",naive,50
10,snack2,"[13,3]",sophisticated,50
11,snack2,"[13,4]",naive,50
11,snack2,"[13,4]",sophisticated,38
12,snack5,"[10,4]",naive,43
12,snack5,"[10,4]",sophisticated,18
13,snack1,"[10,10]",naive,50
13,snack1,"[10,10]",sophisticated,50
14,snack9,"[8,10]",naive,47
14,snack9,"[8,10]",sophisticated,43
15,snack10,"[6,11]",naive,50
15,snack10,"[6,11]",sophisticated,47
16,snack3,"[10,9]",naive,38
16,snack3,"[10,9]",sophisticated,28
17,snack3,"[11,9]",naive,48
17,snack3,"[11,9]",sophisticated,43
18,snack1,"[6,11]",naive,49
18,snack1,"[6,11]",sophisticated,48
19,snack2,"[5,4]",naive,8
19,snack2,"[5,4]",sophisticated,-16
20,snack7,"[3,10]",naive,8
20,snack7,"[3,10]",sophisticated,5
21,snack9,"[12,4]",naive,-13
21,snack9,"[12,4]",sophisticated,-12
22,snack5,"[8,4]",naive,2
22,snack5,"[8,4]",sophisticated,-2
23,snack5,"[8,5]",naive,12
23,snack5,"[8,5]",sophisticated,5
24,snack6,"[7,10]",naive,1
24,snack6,"[7,10]",sophisticated,-1
25,snack9,"[8,5]",naive,-26
25,snack9,"[8,5]",sophisticated,-19
26,snack6,"[8,13]",naive,-5
26,snack6,"[8,13]",sophisticated,-8
27,snack6,"[7,9]",naive,3
27,snack6,"[7,9]",sophisticated,-2
