trial,grid,crumb,agent_type,response
1,snack10,"[6,3]",naive,-50
1,snack10,"[6,3]",sophisticated,-49
2,snack7,"[6,3]",naive,-50
2,snack7,"[6,3]",sophisticated,-49
3,snack3,"[3,9]",naive,-44
3,snack3,"[3,9]",sophisticated,-39
4,snack7,"[3,4]",naive,-45
4,snack7,"[3,4]",sophisticated,-40
5,snack8,"[10,3]",naive,-31
5,snack8,"[10,3]",sophisticated,-4
6,snack8,"[10,2]",naive,-36
6,snack8,"[10,2]",sophisticated,-7
7,snack1,"[4,9]",naive,-34
7,snack1,"[4,9]",sophisticated,-30
8,snack8,"[8,5]",naive,-17
8,snack8,"[8,5]",sophisticated,-4
9,snack10,"[5,3]",naive,-48
9,snack10,"[5,3]",sophisticated,-43
10,snack2,"[13,3]",naive,49
10,snack2,"[13,3]",sophisticated,42
11,snack2,"[13,4]",naive,49
11,snack2,"[13,4]",sophisticated,33
12,snack5,"[10,4]",naive,27
12,snack5,"[10,4]",sophisticated,10
13,snack1,"[10,10]",naive,50
13,snack1,"[10,10]",sophisticated,50
14,snack9,"[8,10]",naive,40
14,snack9,"[8,10]",sophisticated,39
15,snack10,"[6,11]",naive,47
15,snack10,"[6,11]",sophisticated,43
16,snack3,"[10,9]",naive,27
16,snack3,"[10,9]",sophisticated,19
17,snack3,"[11,9]",naive,42
17,snack3,"[11,9]",sophisticated,35
18,snack1,"[6,11]",naive,36
18,snack1,"[6,11]",sophisticated,20
19,snack2,"[5,4]",naive,-1
19,snack2,"[5,4]",sophisticated,-11
20,snack7,"[3,10]",naive,1
20,snack7,"[3,10]",sophisticated,-1
21,snack9,"[12,4]",naive,-14
21,snack9,"[12,4]",sophisticated,-10
22,snack5,"[8,4]",naive,-1
22,snack5,"[8,4]",sophisticated,-3
23,snack5,"[8,5]",naive,9
23,snack5,"[8,5]",sophisticated,5
24,snack6,"[7,10]",naive,0
24,snack6,"[7,10]",sophisticated,-1
25,snack9,"[8,5]",naive,-22
25,snack9,"[8,5]",sophisticated,-19
26,snack6,"[8,13]",naive,-6
26,snack6,"[8,13]",sophisticated,-7
27,snack6,"[7,9]",naive,3
27,snack6,"[7,9]",sophisticated,1
