trial,grid,crumb,agent_type,response
1,snack10,"[6,3]",naive,-49
1,snack10,"[6,3]",sophisticated,-46
2,snack7,"[6,3]",naive,-49
2,snack7,"[6,3]",sophisticated,-47
3,snack3,"[3,9]",naive,-43
3,snack3,"[3,9]",sophisticated,-33
4,snack7,"[3,4]",naive,-49
4,snack7,"[3,4]",sophisticated,-19
5,snack8,"[10,3]",naive,-29
5,snack8,"[10,3]",sophisticated,24
6,snack8,"[10,2]",naive,-38
6,snack8,"[10,2]",sophisticated,36
7,snack1,"[4,9]",naive,-34
7,snack1,"[4,9]",sophisticated,-20
8,snack8,"[8,5]",naive,-14
8,snack8,"[8,5]",sophisticated,0
9,snack10,"[5,3]",naive,-48
9,snack10,"[5,3]",sophisticated,-31
10,snack2,"[13,3]",naive,49
10,snack2,"[13,3]",sophisticated,5
11,snack2,"[13,4]",naive,49
11,snack2,"[13,4]",sophisticated,-31
12,snack5,"[10,4]",naive,27
12,snack5,"[10,4]",sophisticated,-12
13,snack1,"[10,10]",naive,50
13,snack1,"[10,10]",sophisticated,50
14,snack9,"[8,10]",naive,38
14,snack9,"[8,10]",sophisticated,35
15,snack10,"[6,11]",naive,47
15,snack10,"[6,11]",sophisticated,36
16,snack3,"[10,9]",naive,27
16,snack3,"[10,9]",sophisticated,11
17,snack3,"[11,9]",naive,42
17,snack3,"[11,9]",sophisticated,26
18,snack1,"[6,11]",naive,34
18,snack1,"[6,11]",sophisticated,-1
19,snack2,"[5,4]",naive,-2
19,snack2,"[5,4]",sophisticated,-18
20,snack7,"[3,10]",naive,0
20,snack7,"[3,10]",sophisticated,1
21,snack9,"[12,4]",naive,-14
21,snack9,"[12,4]",sophisticated,-4
22,snack5,"[8,4]",naive,-1
22,snack5,"[8,4]",sophisticated,-5
23,snack5,"[8,5]",naive,9
23,snack5,"[8,5]",sophisticated,0
24,snack6,"[7,10]",naive,1
24,snack6,"[7,10]",sophisticated,0
25,snack9,"[8,5]",naive,-20
25,snack9,"[8,5]",sophisticated,-16
26,snack6,"[8,13]",naive,-6
26,snack6,"[8,13]",sophisticated,-5
27,snack6,"[7,9]",naive,5
27,snack6,"[7,9]",sophisticated,-7
