trial,grid,crumb,agent_type,response
1,snack10,"[6,3]",naive,-50
1,snack10,"[6,3]",sophisticated,-47
2,snack7,"[6,3]",naive,-49
2,snack7,"[6,3]",sophisticated,-45
3,snack3,"[3,9]",naive,-33
3,snack3,"[3,9]",sophisticated,-29
4,snack7,"[3,4]",naive,-47
4,snack7,"[3,4]",sophisticated,-25
5,snack8,"[10,3]",naive,-22
5,snack8,"[10,3]",sophisticated,11
6,snack8,"[10,2]",naive,-29
6,snack8,"[10,2]",sophisticated,20
7,snack1,"[4,9]",naive,-24
7,snack1,"[4,9]",sophisticated,-20
8,snack8,"[8,5]",naive,-8
8,snack8,"[8,5]",sophisticated,1
9,snack10,"[5,3]",naive,-46
9,snack10,"[5,3]",sophisticated,-33
10,snack2,"[13,3]",naive,49
10,snack2,"[13,3]",sophisticated,3
11,snack2,"[13,4]",naive,47
11,snack2,"[13,4]",sophisticated,-7
12,snack5,"[10,4]",naive,18
12,snack5,"[10,4]",sophisticated,-6
13,snack1,"[10,10]",naive,50
13,snack1,"[10,10]",sophisticated,50
14,snack9,"[8,10]",naive,37
14,snack9,"[8,10]",sophisticated,34
15,snack10,"[6,11]",naive,45
15,snack10,"[6,11]",sophisticated,37
16,snack3,"[10,9]",naive,22
16,snack3,"[10,9]",sophisticated,9
17,snack3,"[11,9]",naive,37
17,snack3,"[11,9]",sophisticated,24
18,snack1,"[6,11]",naive,-8
18,snack1,"[6,11]",sophisticated,-11
19,snack2,"[5,4]",naive,-8
19,snack2,"[5,4]",sophisticated,-16
20,snack7,"[3,10]",naive,0
20,snack7,"[3,10]",sophisticated,-2
21,snack9,"[12,4]",naive,-16
21,snack9,"[12,4]",sophisticated,-6
22,snack5,"[8,4]",naive,-3
22,snack5,"[8,4]",sophisticated,-5
23,snack5,"[8,5]",naive,5
23,snack5,"[8,5]",sophisticated,0
24,snack6,"[7,10]",naive,0
24,snack6,"[7,10]",sophisticated,-1
25,snack9,"[8,5]",naive,-20
25,snack9,"[8,5]",sophisticated,-14
26,snack6,"[8,13]",naive,-2
26,snack6,"[8,13]",sophisticated,-2
27,snack6,"[7,9]",naive,0
27,snack6,"[7,9]",sophisticated,-5
