trial,grid,crumb,agent_type,response
1,snack10,"[6,3]",naive,-50
1,snack10,"[6,3]",sophisticated,-48
2,snack7,"[6,3]",naive,-49
2,snack7,"[6,3]",sophisticated,-48
3,snack3,"[3,9]",naive,-32
3,snack3,"[3,9]",sophisticated,-30
4,snack7,"[3,4]",naive,-46
4,snack7,"[3,4]",sophisticated,-41
5,snack8,"[10,3]",naive,-20
5,snack8,"[10,3]",sophisticated,-4
6,snack8,"[10,2]",naive,-25
6,snack8,"[10,2]",sophisticated,-3
7,snack1,"[4,9]",naive,-23
7,snack1,"[4,9]",sophisticated,-20
8,snack8,"[8,5]",naive,-6
8,snack8,"[8,5]",sophisticated,-1
9,snack10,"[5,3]",naive,-46
9,snack10,"[5,3]",sophisticated,-41
10,snack2,"[13,3]",naive,49
10,snack2,"[13,3]",sophisticated,37
11,snack2,"[13,4]",naive,47
11,snack2,"[13,4]",sophisticated,33
12,snack5,"[10,4]",naive,18
12,snack5,"[10,4]",sophisticated,6
13,snack1,"[10,10]",naive,50
13,snack1,"[10,10]",sophisticated,50
14,snack9,"[8,10]",naive,38
14,snack9,"[8,10]",sophisticated,37
15,snack10,"[6,11]",naive,44
15,snack10,"[6,11]",sophisticated,41
16,snack3,"[10,9]",naive,22
16,snack3,"[10,9]",sophisticated,14
17,snack3,"[11,9]",naive,37
17,snack3,"[11,9]",sophisticated,30
18,snack1,"[6,11]",naive,-10
18,snack1,"[6,11]",sophisticated,-11
19,snack2,"[5,4]",naive,-9
19,snack2,"[5,4]",sophisticated,-12
20,snack7,"[3,10]",naive,-2
20,snack7,"[3,10]",sophisticated,-3
21,snack9,"[12,4]",naive,-14
21,snack9,"[12,4]",sophisticated,-11
22,snack5,"[8,4]",naive,-3
22,snack5,"[8,4]",sophisticated,-4
23,snack5,"[8,5]",naive,6
23,snack5,"[8,5]",sophisticated,3
24,snack6,"[7,10]",naive,-1
24,snack6,"[7,10]",sophisticated,-1
25,snack9,"[8,5]",naive,-18
25,snack9,"[8,5]",sophisticated,-15
26,snack6,"[8,13]",naive,-2
26,snack6,"[8,13]",sophisticated,-2
27,snack6,"[7,9]",naive,0
27,snack6,"[7,9]",sophisticated,-3
