trial,grid,crumb,agent_type,response
1,snack10,"[6,3]",naive,-50
1,snack10,"[6,3]",sophisticated,-49
2,snack7,"[6,3]",naive,-48
2,snack7,"[6,3]",sophisticated,-48
3,snack3,"[3,9]",naive,-35
3,snack3,"[3,9]",sophisticated,-32
4,snack7,"[3,4]",naive,-47
4,snack7,"[3,4]",sophisticated,-42
5,snack8,"[10,3]",naive,-22
5,snack8,"[10,3]",sophisticated,-7
6,snack8,"[10,2]",naive,-30
6,snack8,"[10,2]",sophisticated,-5
7,snack1,"[4,9]",naive,-26
7,snack1,"[4,9]",sophisticated,-24
8,snack8,"[8,5]",naive,-8
8,snack8,"[8,5]",sophisticated,-5
9,snack10,"[5,3]",naive,-46
9,snack10,"[5,3]",sophisticated,-45
10,snack2,"[13,3]",naive,50
10,snack2,"[13,3]",sophisticated,47
11,snack2,"[13,4]",naive,49
11,snack2,"[13,4]",sophisticated,40
12,snack5,"[10,4]",naive,19
12,snack5,"[10,4]",sophisticated,8
13,snack1,"[10,10]",naive,50
13,snack1,"[10,10]",sophisticated,50
14,snack9,"[8,10]",naive,36
14,snack9,"[8,10]",sophisticated,36
15,snack10,"[6,11]",naive,44
15,snack10,"[6,11]",sophisticated,42
16,snack3,"[10,9]",naive,22
16,snack3,"[10,9]",sophisticated,17
17,snack3,"[11,9]",naive,37
17,snack3,"[11,9]",sophisticated,33
18,snack1,"[6,11]",naive,-6
18,snack1,"[6,11]",sophisticated,-6
19,snack2,"[5,4]",naive,-10
19,snack2,"[5,4]",sophisticated,-12
20,snack7,"[3,10]",naive,-1
20,snack7,"[3,10]",sophisticated,-2
21,snack9,"[12,4]",naive,-14
21,snack9,"[12,4]",sophisticated,-11
22,snack5,"[8,4]",naive,-3
22,snack5,"[8,4]",sophisticated,-2
23,snack5,"[8,5]",naive,6
23,snack5,"[8,5]",sophisticated,4
24,snack6,"[7,10]",naive,-1
24,snack6,"[7,10]",sophisticated,-3
25,snack9,"[8,5]",naive,-20
25,snack9,"[8,5]",sophisticated,-16
26,snack6,"[8,13]",naive,-3
26,snack6,"[8,13]",sophisticated,-3
27,snack6,"[7,9]",naive,0
27,snack6,"[7,9]",sophisticated,-1
