trial,grid,crumb,agent_type,response
1,snack10,"[6,3]",naive,-49
1,snack10,"[6,3]",sophisticated,-49
2,snack7,"[6,3]",naive,-49
2,snack7,"[6,3]",sophisticated,-49
3,snack3,"[3,9]",naive,-37
3,snack3,"[3,9]",sophisticated,-35
4,snack7,"[3,4]",naive,-48
4,snack7,"[3,4]",sophisticated,-46
5,snack8,"[10,3]",naive,-24
5,snack8,"[10,3]",sophisticated,-14
6,snack8,"[10,2]",naive,-29
6,snack8,"[10,2]",sophisticated,-16
7,snack1,"[4,9]",naive,-29
7,snack1,"[4,9]",sophisticated,-28
8,snack8,"[8,5]",naive,-8
8,snack8,"[8,5]",sophisticated,-4
9,snack10,"[5,3]",naive,-47
9,snack10,"[5,3]",sophisticated,-43
10,snack2,"[13,3]",naive,49
10,snack2,"[13,3]",sophisticated,46
11,snack2,"[13,4]",naive,49
11,snack2,"[13,4]",sophisticated,42
12,snack5,"[10,4]",naive,21
12,snack5,"[10,4]",sophisticated,13
13,snack1,"[10,10]",naive,50
13,snack1,"[10,10]",sophisticated,50
14,snack9,"[8,10]",naive,38
14,snack9,"[8,10]",sophisticated,38
15,snack10,"[6,11]",naive,46
15,snack10,"[6,11]",sophisticated,43
16,snack3,"[10,9]",naive,24
16,snack3,"[10,9]",sophisticated,20
17,snack3,"[11,9]",naive,38
17,snack3,"[11,9]",sophisticated,35
18,snack1,"[6,11]",naive,6
18,snack1,"[6,11]",sophisticated,3
19,snack2,"[5,4]",naive,-6
19,snack2,"[5,4]",sophisticated,-10
20,snack7,"[3,10]",naive,-2
20,snack7,"[3,10]",sophisticated,0
21,snack9,"[12,4]",naive,-15
21,snack9,"[12,4]",sophisticated,-13
22,snack5,"[8,4]",naive,-3
22,snack5,"[8,4]",sophisticated,-1
23,snack5,"[8,5]",naive,6
23,snack5,"[8,5]",sophisticated,6
24,snack6,"[7,10]",naive,0
24,snack6,"[7,10]",sophisticated,0
25,snack9,"[8,5]",naive,-18
25,snack9,"[8,5]",sophisticated,-18
26,snack6,"[8,13]",naive,-4
26,snack6,"[8,13]",sophisticated,-4
27,snack6,"[7,9]",naive,5
27,snack6,"[7,9]",sophisticated,0
