trial,grid,crumb,agent_type,response
1,snack10,"[6,3]",naive,-49
1,snack10,"[6,3]",sophisticated,-49
2,snack7,"[6,3]",naive,-49
2,snack7,"[6,3]",sophisticated,-48
3,snack3,"[3,9]",naive,-35
3,snack3,"[3,9]",sophisticated,-34
4,snack7,"[3,4]",naive,-47
4,snack7,"[3,4]",sophisticated,-46
5,snack8,"[10,3]",naive,-23
5,snack8,"[10,3]",sophisticated,-13
6,snack8,"[10,2]",naive,-30
6,snack8,"[10,2]",sophisticated,-19
7,snack1,"[4,9]",naive,-27
7,snack1,"[4,9]",sophisticated,-26
8,snack8,"[8,5]",naive,-9
8,snack8,"[8,5]",sophisticated,-6
9,snack10,"[5,3]",naive,-46
9,snack10,"[5,3]",sophisticated,-45
10,snack2,"[13,3]",naive,50
10,snack2,"[13,3]",sophisticated,40
11,snack2,"[13,4]",naive,48
11,snack2,"[13,4]",sophisticated,40
12,snack5,"[10,4]",naive,18
12,snack5,"[10,4]",sophisticated,14
13,snack1,"[10,10]",naive,50
13,snack1,"[10,10]",sophisticated,50
14,snack9,"[8,10]",naive,37
14,snack9,"[8,10]",sophisticated,37
15,snack10,"[6,11]",naive,45
15,snack10,"[6,11]",sophisticated,43
16,snack3,"[10,9]",naive,22
16,snack3,"[10,9]",sophisticated,21
17,snack3,"[11,9]",naive,37
17,snack3,"[11,9]",sophisticated,36
18,snack1,"[6,11]",naive,-1
18,snack1,"[6,11]",sophisticated,-3
19,snack2,"[5,4]",naive,-9
19,snack2,"[5,4]",sophisticated,-10
20,snack7,"[3,10]",naive,-1
20,snack7,"[3,10]",sophisticated,0
21,snack9,"[12,4]",naive,-13
21,snack9,"[12,4]",sophisticated,-13
22,snack5,"[8,4]",naive,-3
22,snack5,"[8,4]",sophisticated,-3
23,snack5,"[8,5]",naive,6
23,snack5,"[8,5]",sophisticated,5
24,snack6,"[7,10]",naive,-1
24,snack6,"[7,10]",sophisticated,-1
25,snack9,"[8,5]",naive,-19
25,snack9,"[8,5]",sophisticated,-18
26,snack6,"[8,13]",naive,-3
26,snack6,"[8,13]",sophisticated,-3
27,snack6,"[7,9]",naive,2
27,snack6,"[7,9]",sophisticated,0
