trial,grid,crumb,agent_type,response
1,snack10,"[6,3]",naive,-50
1,snack10,"[6,3]",sophisticated,-50
2,snack7,"[6,3]",naive,-50
2,snack7,"[6,3]",sophisticated,-50
3,snack3,"[3,9]",naive,-50
3,snack3,"[3,9]",sophisticated,-50
4,snack7,"[3,4]",naive,0
4,snack7,"[3,4]",sophisticated,0
5,snack8,"[10,3]",naive,-50
5,snack8,"[10,3]",sophisticated,50
6,snack8,"[10,2]",naive,-50
6,snack8,"[10,2]",sophisticated,50
7,snack1,"[4,9]",naive,-50
7,snack1,"[4,9]",sophisticated,-39
8,snack8,"[8,5]",naive,-50
8,snack8,"[8,5]",sophisticated,-17
9,snack10,"[5,3]",naive,-50
9,snack10,"[5,3]",sophisticated,-48
10,snack2,"[13,3]",naive,0
10,snack2,"[13,3]",sophisticated,0
11,snack2,"[13,4]",naive,0
11,snack2,"[13,4]",sophisticated,0
12,snack5,"[10,4]",naive,50
12,snack5,"[10,4]",sophisticated,-50
13,snack1,"[10,10]",naive,50
13,snack1,"[10,10]",sophisticated,50
14,snack9,"[8,10]",naive,50
14,snack9,"[8,10]",sophisticated,50
15,snack10,"[6,11]",naive,50
15,snack10,"[6,11]",sophisticated,44
16,snack3,"[10,9]",naive,34
16,snack3,"[10,9]",sophisticated,5
17,snack3,"[11,9]",naive,50
17,snack3,"[11,9]",sophisticated,8
18,snack1,"[6,11]",naive,50
18,snack1,"[6,11]",sophisticated,50
19,snack2,"[5,4]",naive,2
19,snack2,"[5,4]",sophisticated,-46
20,snack7,"[3,10]",naive,23
20,snack7,"[3,10]",sophisticated,-47
21,snack9,"[12,4]",naive,50
21,snack9,"[12,4]",sophisticated,-50
22,snack5,"[8,4]",naive,-46
22,snack5,"[8,4]",sophisticated,50
23,snack5,"[8,5]",naive,-44
23,snack5,"[8,5]",sophisticated,46
24,snack6,"[7,10]",naive,-45
24,snack6,"[7,10]",sophisticated,50
25,snack9,"[8,5]",naive,21
25,snack9,"[8,5]",sophisticated,-3
26,snack6,"[8,13]",naive,0
26,snack6,"[8,13]",sophisticated,-5
27,snack6,"[7,9]",naive,-45
27,snack6,"[7,9]",sophisticated,-6
