trial,grid,crumb,agent_type,response
1,snack10,"[6,3]",naive,-50
1,snack10,"[6,3]",sophisticated,-50
2,snack7,"[6,3]",naive,-50
2,snack7,"[6,3]",sophisticated,-50
3,snack3,"[3,9]",naive,-49
3,snack3,"[3,9]",sophisticated,-48
4,snack7,"[3,4]",naive,-50
4,snack7,"[3,4]",sophisticated,-45
5,snack8,"[10,3]",naive,-42
5,snack8,"[10,3]",sophisticated,-33
6,snack8,"[10,2]",naive,-46
6,snack8,"[10,2]",sophisticated,-36
7,snack1,"[4,9]",naive,-39
7,snack1,"[4,9]",sophisticated,-38
8,snack8,"[8,5]",naive,-34
8,snack8,"[8,5]",sophisticated,-25
9,snack10,"[5,3]",naive,-50
9,snack10,"[5,3]",sophisticated,-49
10,snack2,"[13,3]",naive,48
10,snack2,"[13,3]",sophisticated,50
11,snack2,"[13,4]",naive,49
11,snack2,"[13,4]",sophisticated,48
12,snack5,"[10,4]",naive,39
12,snack5,"[10,4]",sophisticated,31
13,snack1,"[10,10]",naive,50
13,snack1,"[10,10]",sophisticated,50
14,snack9,"[8,10]",naive,45
14,snack9,"[8,10]",sophisticated,43
15,snack10,"[6,11]",naive,49
15,snack10,"[6,11]",sophisticated,49
16,snack3,"[10,9]",naive,33
16,snack3,"[10,9]",sophisticated,31
17,snack3,"[11,9]",naive,45
17,snack3,"[11,9]",sophisticated,44
18,snack1,"[6,11]",naive,49
18,snack1,"[6,11]",sophisticated,49
19,snack2,"[5,4]",naive,4
19,snack2,"[5,4]",sophisticated,-1
20,snack7,"[3,10]",naive,5
20,snack7,"[3,10]",sophisticated,4
21,snack9,"[12,4]",naive,-15
21,snack9,"[12,4]",sophisticated,-12
22,snack5,"[8,4]",naive,2
22,snack5,"[8,4]",sophisticated,0
23,snack5,"[8,5]",naive,13
23,snack5,"[8,5]",sophisticated,11
24,snack6,"[7,10]",naive,3
24,snack6,"[7,10]",sophisticated,0
25,snack9,"[8,5]",naive,-23
25,snack9,"[8,5]",sophisticated,-24
26,snack6,"[8,13]",naive,-6
26,snack6,"[8,13]",sophisticated,-7
27,snack6,"[7,9]",naive,5
27,snack6,"[7,9]",sophisticated,2
