trial,grid,crumb,agent_type,response
1,snack10,"[6,3]",naive,-50
1,snack10,"[6,3]",sophisticated,-41
2,snack7,"[6,3]",naive,-50
2,snack7,"[6,3]",sophisticated,-36
3,snack3,"[3,9]",naive,-50
3,snack3,"[3,9]",sophisticated,-39
4,snack7,"[3,4]",naive,0
4,snack7,"[3,4]",sophisticated,24
5,snack8,"[10,3]",naive,-50
5,snack8,"[10,3]",sophisticated,-39
6,snack8,"[10,2]",naive,0
6,snack8,"[10,2]",sophisticated,50
7,snack1,"[4,9]",naive,-50
7,snack1,"[4,9]",sophisticated,-35
8,snack8,"[8,5]",naive,-50
8,snack8,"[8,5]",sophisticated,-27
9,snack10,"[5,3]",naive,-50
9,snack10,"[5,3]",sophisticated,-39
10,snack2,"[13,3]",naive,0
10,snack2,"[13,3]",sophisticated,-15
11,snack2,"[13,4]",naive,0
11,snack2,"[13,4]",sophisticated,-30
12,snack5,"[10,4]",naive,50
12,snack5,"[10,4]",sophisticated,33
13,snack1,"[10,10]",naive,50
13,snack1,"[10,10]",sophisticated,44
14,snack9,"[8,10]",naive,50
14,snack9,"[8,10]",sophisticated,36
15,snack10,"[6,11]",naive,50
15,snack10,"[6,11]",sophisticated,43
16,snack3,"[10,9]",naive,-32
16,snack3,"[10,9]",sophisticated,-12
17,snack3,"[11,9]",naive,48
17,snack3,"[11,9]",sophisticated,36
18,snack1,"[6,11]",naive,50
18,snack1,"[6,11]",sophisticated,37
19,snack2,"[5,4]",naive,19
19,snack2,"[5,4]",sophisticated,5
20,snack7,"[3,10]",naive,30
20,snack7,"[3,10]",sophisticated,24
21,snack9,"[12,4]",naive,0
21,snack9,"[12,4]",sophisticated,15
22,snack5,"[8,4]",naive,-50
22,snack5,"[8,4]",sophisticated,-31
23,snack5,"[8,5]",naive,-50
23,snack5,"[8,5]",sophisticated,-28
24,snack6,"[7,10]",naive,-41
24,snack6,"[7,10]",sophisticated,16
25,snack9,"[8,5]",naive,29
25,snack9,"[8,5]",sophisticated,19
26,snack6,"[8,13]",naive,2
26,snack6,"[8,13]",sophisticated,1
27,snack6,"[7,9]",naive,-50
27,snack6,"[7,9]",sophisticated,-21
